customer_account_no,customer_name,created_on,created_by,updated_on,updated_by,fax_no,sponsor_name,po_box_no,email_address,telephone_no,state,street_no,zone,country,building_no,customer_category_id,unit_no,customer_group_code_id,customer_account_type,status_id,mobile_no,outlet_classification,latitude,outlet_type,department_id,outlet_category,parent_outlet,longtitude,cr_no,contact_person,sponsor_contact_no,area_name,area_name_id,cr_license,guarantee,customer_form,sponsor_id
07-109,AHMED AZEEMI,,,,,4442169,,277,,4320028,DOHA,,7,QATAR,,,,,2,1,,,,,3,,,,,,,,,,,,
07-128A,ALI AKBAR MOGOLI,,,,,4415846,,971,,4422146,DOHA,,7,QATAR,,,,,2,1,422146,,,,3,,,,,HUSSAIN A. AZIZ,,AL SOUQ,,,,,
07-131,M.P.TRADERS,,,,,4313004,,2104,,4313005,DOHA,,27,QATAR,,,,,2,1,,,,,3,,,,,,,Umm Ghuwailina,,,,,
07-179,DUHEIL COMPLEX,,,,,4791695,,7323,,4791212,DOHA,,30,QATAR,,,,,2,1,4791212,,,,3,,,,,,,Duhail,,,,,
07-180B,AL MEERA CONSUMER GOOD CO.,,,,,4368239/4365554,,8088,yarmouk@almira.com.qa,4368239/5134717,DOHA,,37,QATAR,,,,,2,1,4319446,,,,3,,,,,,,Fereej Bin Omran,,,,,
07-187,FAMILY FOOD CENTRE,,,,,4448598,,5483,,4422456,DOHA,,39,QATAR,,,,,2,1,4422456,,,,3,,,,,,,Fereej Al Nasr,,,,,
07-189,FALCON SUPERMARKET,,,,,4447206,,37080,,4441216,DOHA,,38,QATAR,,,,,2,1,,,,,3,,,,,C.V MUSTAFA,,Al Sadd,,,,,
07-200,N.B.K & SONS TRD. CO. SHOPRITE,,,,,4883009,,20195,nbkics@qatar.net.qa,4883007,DOHA,,45,QATAR,,,,,2,1,4883007,,,,3,,,,,,,Old Airport,,,,,
07-299,AL MEERA CONSUMERS CO.,,,,,4834420,,8480,,4834478,DOHA,,61,QATAR,,,,,2,1,834669,,,,3,,,,,,,Al Dafna,,,,,
07-302,MAMOURA SHOPPING COMPLEX  (HYPER MKT),,,,,44683395,,7323,,44113155,DOHA,,56,QATAR,,,,,2,1,44113155,,,,3,,,,,,,Al Mamoura,,,,,
07-334,NEW INDIAN SUPERMARKET,,,,,4651738,,9138,,4651477,DOHA,,45,QATAR,,,,,2,1,4651477,,,,3,,,,,,,Old Airport,,,,,
07-373,RAHMATHY KHOORY,,,,,4606477,,175,,4413632,DOHA,,7,QATAR,,,,,2,1,413632,,,,3,,,,,,,Al Souq,,,,,
07-404A,AL MEERA CONSUMER GOOD CO.,,,,,4718247,,8801,,4791247,DOHA,,80,QATAR,,,,,2,1,791247,,,,3,,,,,,,Al Shahaniya,,,,,
07-427,STERLING CAFETERIA,,,,,4657999,,4746,Jerome@sgoc.net,4664433,DOHA,,,QATAR,,,,,2,1,4664433,,,,3,,,,,,,UNIVERSITY CA,,,,,
07-444,AL MEERA CONSUMER GOOD CO.,,,,,4643230,,80303,,4643223,DOHA,,,QATAR,,,,,2,1,4643223,,,,3,,,,,,,Al Wakra,,,,,
07-591,GHOLAM REZA GHAFFARI,,,,,4353860,,17790,,4326556,DOHA,,7,QATAR,,,,,2,1,4326556,,,,3,,,,,,,Al Souq,,,,,
07-595,AL WUSAYL MODERN SUPERMARKET,,,,,4789915,,75006,,4789638,DOHA,,,QATAR,,,,,2,1,4789638,,,,3,,,,,,,Um Salal Ali,,,,,
07-627,HADWAN SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,PAROLAKANDYIL ANDRU,,,,,,,
07-629,BUMATAR SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,,,,,,
07-301,AL GAIZA SUPERMARKET,,,,,,,5668,,4448863,DOHA,,,QATAR,,,,,1,1,4448863,,,,3,,,,,,,Gulf Street,,,,,
