item_code_id,item_code,location_code_id,opening_stock,closing_stock
,AGS-3514,1,0,0
,UST-810,1,0,0
,UST-813,1,0,0
,KF-320,1,0,0
,KF-321,1,0,0
,KUK-369,1,1872,1872
,KF-374,1,36233,36233
,KF-375,1,6612,6612
,KF-376,1,769,769
,KF-377,1,36,36
,KF-378,1,20,20
,KF-332,1,19,19
,KF-381,1,0,0
,KF-314,1,6,6
,KF-316,1,8,8
,KF-308,1,4,4
,KF-309,1,45,45
,KF-310,1,8306,8306
,KF-311,1,2962,2962
,KF-312,1,55,55
,KF-317,1,1701,1701
,KF-318,1,2204,2204
,KF-319,1,3,3
,KF-383,1,0,0
,KF-384,1,0,0
,KF-385,1,4410,4410
,KF-385A,1,2102,2102
,KF-385B,1,22,22
,RI-954,1,148030,148030
,28701,1,79352,79352
,28702,1,16210,16210
,28704,1,10986,10986
,28707,1,121591,121591
,28708,1,50097,50097
,28722,1,203065,203065
,28751,1,14362,14362
,366001,1,25,25
,366003,1,945,945
,366004,1,1710,1710
,366006,1,2395,2395
,366007,1,3520,3520
,366008,1,3330,3330
,366009,1,2060,2060
,RI-955,1,281680,281680
,28720,1,40639,40639
,28770,1,45408,45408
,382202,1,73,73
,AGS-8491,1,0,0
,28703,1,6244,6244
,NKS-366,1,15,15
,NKS-367,1,8,8
,NKS-365A,1,8,8
,RI-956,1,140800,140800
,38488826,1,1342,1342
,38488879,1,2478,2478
,38488881,1,1499,1499
,3848424,1,4174,4174
,3848432,1,5794,5794
,3884001,1,321840,321840
,3822432,1,34,34
,KUK-370,1,41,41
,KUK-371,1,4885,4885
,KUK-372,1,42,42
,2767,1,0,0
,38486099,1,5107,5107
,3822434,1,20,20
,3822430,1,41,41
,KF-401,1,0,0
,NKS-373,1,3,3
,NKS-374,1,6,6
,28753,1,81740,81740
,3822589,1,18,18
,3822590,1,91,91
,3822695,1,4,4
,3822693,1,50,50
,3822696,1,14,14
,3888001,1,913260,913260
,3888002,1,180840,180840
,38488707,1,2750,2750
,382822,1,3449,3449
,3822432B,1,11754,11754
,370002,1,66550,66550
,382402,1,12,12
,382403,1,21,21
,382406,1,2,2
,382408,1,15,15
,382410,1,1,1
,28737,1,217014,217014
,28711,1,125134,125134
,28723,1,59867,59867
,28772,1,108847,108847
,382330,1,8,8
,366334,1,0,0
,RI-945,1,117530,117530
,395000803,1,627,627
,395012156,1,627,627
,395012157,1,608,608
,395018691,1,9917,9917
,395018693,1,11997,11997
,395018716,1,17556,17556
,395018697,1,10472,10472
,395018699,1,39,39
,395018715,1,10500,10500
,395018700,1,2561,2561
,366699,1,0,0
,366701,1,2710,2710
,366706,1,410,410
,366707,1,2710,2710
,3884004,1,201500,201500
,28773,1,2,2
,28742,1,14,14
,3888003,1,28580,28580
,28725,1,4,4
,28739B,1,10,10
,38494368,1,1816,1816
,28757,1,9099,9099
,28758,1,1479,1479
,395014001,1,2002,2002
,395014003,1,3344,3344
,395014004,1,3450,3450
,395014005,1,5391,5391
,395014007,1,3662,3662
,395014008,1,28,28
,395014009,1,2854,2854
,395014010,1,20,20
,370003,1,16900,16900
,370004,1,18800,18800
,399164,1,0,0
,399123,1,323610,323610
,28778,1,19030,19030
,40035801,1,1924,1924
,40035803,1,692,692
,40055050,1,1207,1207
,40055052,1,1730,1730
,40055053,1,1428,1428
,40035800,1,7,7
,366710,1,558,558
,366711,1,564,564
,366712,1,531,531
,28783,1,35750,35750
,1931001,1,0,0
,1931002,1,0,0
,1931003,1,0,0
,1931004,1,0,0
,1931005,1,0,0
,1931006,1,0,0
,1931007,1,0,0
,1932001,1,0,0
,1932002,1,2,2
,1932003,1,98,98
,1932004,1,87,87
,1933001,1,49,49
,1933002,1,55,55
,1933003,1,53,53
,1933004,1,30,30
,1933005,1,33,33
,1933006,1,35,35
,1933007,1,0,0
,1933008,1,4,4
,28788,1,1,1
,28716,1,4775,4775
,28791,1,815,815
,3002010001,1,269,269
,3002010002,1,24,24
,3002010003,1,40,40
,382405,1,11,11
,28793,1,24,24
,28794,1,55974,55974
,19310010,1,0,0
,19310011,1,0,0
,19310012,1,0,0
,1931008,1,58,58
,1931009,1,0,0
,28783A,1,3324,3324
,28763,1,70670,70670
,28764,1,43883,43883
,28765,1,37,37
,28766,1,876,876
,3888004,1,15600,15600
,3888005,1,2400,2400
,370005,1,237,237
,370006,1,267,267
,3008010001,1,1018,1018
,3008010002,1,982,982
,3008010003,1,393,393
,3008010004,1,2523,2523
,3008010005,1,2375,2375
,3008010006,1,27,27
,3008010007,1,2372,2372
,3008010008,1,2932,2932
,19310013,1,0,0
,19310014,1,0,0
,19310015,1,0,0
,19310016,1,6,6
,19310017,1,0,0
,395014039,1,10029,10029
,395014050,1,5519,5519
,395014062,1,4723,4723
,28726,1,1667,1667
,400100233,1,1498,1498
,400100235,1,1292,1292
,2134916,1,836570,836570
,2134907,1,517400,517400
,2134906,1,468590,468590
,370007,1,1663,1663
,384476766,1,1832,1832
,384476732,1,1928,1928
,28802,1,32133,32133
,199030018,1,0,0
,199020008,1,0,0
,28715,1,3,3
,384476760,1,6759,6759
,384476702,1,1306,1306
,384476726,1,425,425
,384479483,1,4900,4900
,384479485,1,1481,1481
,28717,1,163,163
,3002010006,1,299,299
,384459341N,1,4941,4941
,28735,1,2789,2789
,384484737,1,7187,7187
,384484735,1,5862,5862
,384484739,1,6559,6559
,38401044N,1,2337,2337
,3888006,1,3080,3080
,28744,1,2,2
,28745,1,3253,3253
,28803,1,14051,14051
,28752,1,10029,10029
,400100996,1,961,961
,400100243,1,1450,1450
,287181,1,17,17
,287121,1,379,379
,287122,1,20,20
,287123,1,1777,1777
,287100,1,456,456
,287182,1,104,104
,287183,1,42,42
,287126,1,33,33
