item_code,item_description,item_description_ar,supplier_item_ref,int_barcode,loc_barcode,purchase_point,ib,uom_value,uom_id,supplier_uom_value,supplier_uom_id,weight_value,weight_id,type_id,division_id,dept_code_id,supplier_code_id,product_code_id,subproduct_code_id,group_line_id,brand_line_code_id,brand_cls_code_id,section_code_id,size_code_id,gender_code_id,fragrance_code_id,color_code_id,collection_code_id,made_in_id,item_status_code_id,created_on,created_by,updated_on,updated_by,selectivetax,vatpercentage
DD-001735009,ADD DEO SPR 100ML INT15,,F001735009,,,40,0,1,5,,,,,3,1,5,20,18,22,97,15,48,8,10,3,,12,1,,1,,,,,,
DD-006282849,ADD E/ FRAICH NEW EDT SPR 50ML INT,,F006282849,,,40,0,1,5,,,,,3,1,5,20,18,388,97,15,50,8,8,3,2,12,1,,1,,,,,,
DD-006284849,ADD E/ FRAICH NEW EDT SPR 100ML IN,,F006284849,,,40,0,1,5,,,,,3,1,5,20,18,388,97,15,50,8,10,3,2,12,1,,1,,,,,,
DD-007282409,ADD EDP NEW SPR 50ML INT14,,F007282409,,,40,0,1,5,,,,,3,1,5,20,18,388,97,15,49,8,8,3,,12,1,,1,,,,,,
DD-007284409,ADD EDP NEW SPR 100ML INT14,,F007284409,,,40,0,1,5,,,,,3,1,5,20,18,388,97,15,49,8,10,3,3,12,1,,1,,,,,,
DD-062872009,ADD NEW EDT SP 50ML INT14,,F062872009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,15,49,8,8,3,,12,1,,1,,,,,,
DD-062874009,ADD NEW EDT SP 100ML INT14,,F062874009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,15,49,8,10,3,,12,1,,1,,,,,,
DD-000500000,DH EDT AS BALM P/BTL 100ML INT15,,F000500000,,,40,0,1,5,,,,,3,1,5,20,18,22,97,16,51,8,10,2,,12,1,,1,,,,,,
DD-000947000,DH EDT SHOWER GEL BTL 200ML INT15,,F000947000,,,40,0,1,5,,,,,3,1,5,20,18,22,97,16,51,8,21,2,,12,1,,1,,,,,,
DD-001736009,DH EDT DEO SPR 150ML INT15,,F001736009,,,40,0,1,5,,,,,3,1,5,20,18,22,97,16,51,8,20,2,,12,1,,1,,,,,,
DD-001800000,DH EDT DEO STICK 75GR INT15,,F001800000,,,40,0,1,5,,,,,3,1,5,20,18,22,97,16,51,8,25,2,,12,1,,1,,,,,,
DD-036914000,CD MASCULINE(H)AFS LOTION BOTTLE 1,,F036914000,,,40,0,1,5,,,,,3,1,5,20,18,22,97,16,51,8,10,2,,12,1,,1,,,,,,
DD-046922009,CD MASCULINE(H)EDT SPRAY 50ML,,F046922009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,51,8,8,2,,12,1,,1,,,,,,
DD-046924009,CD MASCULINE(H)EDT SPRAY 100ML,,F046924009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,51,8,10,2,,12,1,,1,,,,,,
DD-047922709,DIOR-HOMME INTENSE EDP 50ML,,F047922709,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,51,8,8,2,,12,1,,1,,,,,,
DD-047924709,HOMME INTENSE EDP 100ML,,F047924709,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,52,8,10,2,,12,1,,1,,,,,,
DD-066926009,DH EDT SPRAY 150ML INT11,,F066926009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,51,8,20,2,,12,1,,1,,,,,,
DD-068922709,DH SPORT EDT SPR 50ML INT17,,F068922709,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,53,8,8,2,,12,1,,1,,,,,,
DD-068923709,DH SPORT EDT SPR 75ML INT17,,F068923709,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,53,8,9,2,,12,1,,1,,,,,,
DD-068955709,DH SPORT EDT SPR 125ML INT17,,F068955709,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,53,8,11,2,,12,1,,1,,,,,,
DD-077926009,DHI EDP SPRAY 150ML INT11,,F077926009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,52,8,20,2,,12,1,,1,,,,,,
DD-091903009,DH COLOGNE SPR 75ML INT13,,F091903009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,51,8,9,2,,12,1,,1,,,,,,
DD-091928009,DH COLOGNE SPR 200ML INT15,,F091928009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,51,8,21,2,,12,1,,1,,,,,,
DD-091955009,DH COLOGNE SPR 125ML INT13,,F091955009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,51,8,11,2,,12,1,,1,,,,,,
DD-099600057,DH SPORT VERY COOL SPRAY 100ML INT,,C099600057,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,53,8,10,2,,12,1,,1,,,,,,
DD-099600060,DH SPORT EDT SPR 200ML INT18,,C099600060,,,40,0,1,5,,,,,3,1,5,20,18,388,97,16,53,8,21,2,,12,1,,1,,,,,,
DD-006824009,CD DIORELLA EDT SPRAY 100ML,,F006824009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,17,54,8,10,3,,12,1,,1,,,,,,
DD-006422909,CD DIORISSIMO EDT SPRAY 50ML,,F006422909,,,40,0,1,5,,,,,3,1,5,20,18,388,97,18,55,8,8,3,,12,1,,1,,,,,,
DD-006424909,CD DIORISSIMO EDT SPRAY 100ML,,F006424909,,,40,0,1,5,,,,,3,1,5,20,18,388,97,18,55,8,10,3,,12,1,,1,,,,,,
DD-061022009,CD DOLCE VITA EDT SPRAY 50ML,,F061022009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,19,56,8,8,3,,12,1,,1,,,,,,
DD-061024009,CD DOLCE VITA EDT SPRAY 100ML,,F061024009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,19,56,8,10,3,,12,1,,1,,,,,,
DD-006922009,CD DUNE EDT SPRAY 50ML,,F006922009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,20,57,8,8,3,,12,1,,1,,,,,,
DD-006924009,CD DUNE EDT SPRAY 100ML,,F006924009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,20,57,8,10,3,,12,1,,1,,,,,,
DD-069024009,CD DUNE(M) EDT SPRAY 100ML,,F069024009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,20,58,8,10,2,,12,1,,1,,,,,,
DD-000794000,ES SOAP 150 GINT 09,,F000794000,,,40,0,1,5,,,,,3,1,5,20,18,22,97,21,59,8,24,2,,12,1,,1,,,,,,
DD-005767100,DEO STICK SA E.SAUVAGE 75ML,,F005767100,,,40,0,1,5,,,,,3,1,5,20,18,22,97,21,59,8,25,2,,12,1,,1,,,,,,
DD-057014000,EAU SAUVAGE ASF LOTION 100ML,,F057014000,,,40,0,1,5,,,,,3,1,5,20,18,22,97,21,59,8,10,2,,12,1,,1,,,,,,
DD-057064000,EAU SAUVAGE DEO 150ML,,F057064000,,,40,0,1,5,,,,,3,1,5,20,18,22,97,21,59,8,20,2,,12,1,,1,,,,,,
DD-007824009,ES EXTREME EDT 100ML,,F007824009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,21,60,8,10,2,,12,1,,1,,,,,,
DD-009722109,CD E.SVGE EDT SPRAY 50ML,,F009722109,,,40,0,1,5,,,,,3,1,5,20,18,388,97,21,60,8,8,2,,12,1,,1,,,,,,
DD-009724109,CD E.SVGE EDT SPRAY 100ML,,F009724109,,,40,0,1,5,,,,,3,1,5,20,18,388,97,21,60,8,10,2,,12,1,,1,,,,,,
DD-009728109,EAU SAUVAGE 200ML EDT SPRAY,,F009728109,,,40,0,1,5,,,,,3,1,5,20,18,388,97,21,59,8,21,2,,12,1,,1,,,,,,
DD-089622009,ES PARFUM SPR 50ML INT17,,F089622009,,,40,0,1,5,,,,,3,1,5,20,18,388,97,21,59,8,8,2,,12,1,,1,,,,,,
