item_code_id,most_recent_cost,average_cost,most_recent_landed_cost,currency_id,opening_average_cost,last_issued_date,wholesale_price,retail_price,vansale_price,reorder_qty,created_on,created_by,updated_on,updated_by
261,146.2000,146.200,146.200,6,146.2000,,215.00,215.00,215.00,,,,,
262,256.3600,256.360,256.360,6,256.3600,,377.00,377.00,377.00,,,,,
263,367.2000,367.200,367.200,6,367.2000,,540.00,540.00,540.00,,,,,
264,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
265,448.1200,448.120,448.120,6,448.1200,,659.00,659.00,659.00,,,,,
266,256.3600,256.360,256.360,6,256.3600,,377.00,377.00,377.00,,,,,
267,367.2000,367.200,367.200,6,367.2000,,540.00,540.00,540.00,,,,,
268,164.5600,164.560,164.560,6,164.5600,,242.00,242.00,242.00,,,,,
269,121.0400,121.040,121.040,6,121.0400,,178.00,178.00,178.00,,,,,
270,112.8800,112.880,112.880,6,112.8800,,166.00,166.00,166.00,,,,,
271,114.2400,114.240,114.240,6,114.2400,,168.00,168.00,168.00,,,,,
272,207.4000,207.400,207.400,6,207.4000,,305.00,305.00,305.00,,,,,
273,225.7600,225.760,225.760,6,225.7600,,332.00,332.00,332.00,,,,,
274,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
275,248.2000,248.200,248.200,6,248.2000,,365.00,365.00,365.00,,,,,
276,348.1600,348.160,348.160,6,348.1600,,512.00,512.00,512.00,,,,,
277,380.8000,380.800,380.800,6,380.8000,,560.00,560.00,560.00,,,,,
278,203.3200,203.320,203.320,6,203.3200,,299.00,299.00,299.00,,,,,
279,224.4000,224.400,224.400,6,224.4000,,330.00,330.00,330.00,,,,,
280,317.5600,317.560,317.560,6,317.5600,,467.00,467.00,467.00,,,,,
281,417.5200,417.520,417.520,6,417.5200,,614.00,614.00,614.00,,,,,
282,248.2000,248.200,248.200,6,248.2000,,365.00,365.00,365.00,,,,,
283,475.3200,475.320,475.320,6,475.3200,,699.00,699.00,699.00,,,,,
284,348.1600,348.160,348.160,6,348.1600,,512.00,512.00,512.00,,,,,
285,230.5200,230.520,230.520,6,230.5200,,339.00,339.00,339.00,,,,,
286,424.3200,424.320,424.320,6,424.3200,,624.00,624.00,624.00,,,,,
287,367.2000,367.200,367.200,6,367.2000,,540.00,540.00,540.00,,,,,
288,256.3600,256.360,256.360,6,256.3600,,377.00,377.00,377.00,,,,,
289,367.2000,367.200,367.200,6,367.2000,,540.00,540.00,540.00,,,,,
290,256.3600,256.360,256.360,6,256.3600,,377.00,377.00,377.00,,,,,
291,367.2000,367.200,367.200,6,367.2000,,540.00,540.00,540.00,,,,,
292,256.3600,256.360,256.360,6,256.3600,,377.00,377.00,377.00,,,,,
293,367.2000,367.200,367.200,6,0.0000,,540.00,540.00,540.00,,,,,
294,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
295,78.2000,78.200,78.200,6,78.2000,,115.00,115.00,115.00,,,,,
296,114.2400,114.240,114.240,6,114.2400,,168.00,168.00,168.00,,,,,
297,212.8400,212.840,212.840,6,0.0000,,313.00,313.00,313.00,,,,,
298,112.8800,112.880,112.880,6,112.8800,,166.00,166.00,166.00,,,,,
299,348.1600,348.160,348.160,6,348.1600,,512.00,512.00,512.00,,,,,
300,225.7600,225.760,225.760,6,225.7600,,332.00,332.00,332.00,,,,,
301,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
302,475.3200,475.320,475.320,6,475.3200,,699.00,699.00,699.00,,,,,
303,218.9600,218.960,218.960,6,218.9600,,322.00,322.00,322.00,,,,,
304,310.0800,310.080,310.080,6,310.0800,,456.00,456.00,456.00,,,,,
305,471.9200,471.920,471.920,6,471.9200,,694.00,694.00,694.00,,,,,
306,225.7600,225.760,225.760,6,225.7600,,332.00,332.00,332.00,,,,,
307,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
308,348.1600,348.160,348.160,6,348.1600,,512.00,512.00,512.00,,,,,
309,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
310,121.0400,121.040,121.040,6,121.0400,,178.00,178.00,178.00,,,,,
311,225.0800,225.080,225.080,6,225.0800,,331.00,331.00,331.00,,,,,
312,114.2400,114.240,114.240,6,114.2400,,168.00,168.00,168.00,,,,,
313,112.8800,112.880,112.880,6,0.0000,,166.00,166.00,166.00,,,,,
314,225.7600,225.760,225.760,6,225.7600,,332.00,332.00,332.00,,,,,
315,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
316,475.3200,475.320,475.320,6,475.3200,,699.00,699.00,699.00,,,,,
317,225.7600,225.760,225.760,6,225.7600,,332.00,332.00,332.00,,,,,
318,395.7600,395.760,395.760,6,395.7600,,582.00,582.00,582.00,,,,,
319,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
320,348.1600,348.160,348.160,6,348.1600,,512.00,512.00,512.00,,,,,
321,348.1600,348.160,348.160,6,348.1600,,512.00,512.00,512.00,,,,,
322,367.2000,367.200,367.200,6,367.2000,,540.00,540.00,540.00,,,,,
323,274.7200,274.720,274.720,6,274.7200,,404.00,404.00,404.00,,,,,
324,235.9600,235.960,235.960,6,235.9600,,347.00,347.00,347.00,,,,,
325,177.4800,177.480,177.480,6,177.4800,,261.00,261.00,261.00,,,,,
326,142.1200,142.120,142.120,6,142.1200,,209.00,209.00,209.00,,,,,
327,176.1200,176.120,176.120,6,176.1200,,259.00,259.00,259.00,,,,,
328,155.7200,155.720,155.720,6,155.7200,,229.00,229.00,229.00,,,,,
329,82.2800,82.280,82.280,6,82.2800,,121.00,121.00,121.00,,,,,
330,146.2000,146.200,146.200,6,146.2000,,215.00,215.00,215.00,,,,,
331,397.8000,397.800,397.800,6,397.8000,,585.00,585.00,585.00,,,,,
332,316.8800,316.880,316.880,6,0.0000,,466.00,466.00,466.00,,,,,
333,411.4000,411.400,411.400,6,411.4000,,605.00,605.00,605.00,,,,,
334,238.0000,238.000,238.000,6,238.0000,,350.00,350.00,350.00,,,,,
335,323.6800,323.680,323.680,6,323.6800,,476.00,476.00,476.00,,,,,
336,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
337,448.1200,448.120,448.120,6,448.1200,,659.00,659.00,659.00,,,,,
338,151.6400,151.640,151.640,6,151.6400,,223.00,223.00,223.00,,,,,
339,362.4400,362.440,362.440,6,362.4400,,533.00,533.00,533.00,,,,,
340,469.8800,469.880,469.880,6,469.8800,,691.00,691.00,691.00,,,,,
341,256.3600,256.360,256.360,6,256.3600,,377.00,377.00,377.00,,,,,
